,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
89,Antonio Blanco,es ESP,MF,Alavés,La Liga,24-210,2000,22,19,"1,600",17.8,0,1,1,0,0,0,5,0,0.7,0.7,1.3,1.9,4,86,9,0.00,0.06,0.06,0.00,0.06,0.04,0.07,0.11,0.04,0.11
90,Daley Blind,nl NED,DF,Girona,La Liga,34-346,1990,20,17,"1,520",16.9,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.0,43,163,33,0.00,0.06,0.06,0.00,0.06,0.01,0.05,0.06,0.01,0.06
91,Adama Boiro,es ESP,DF,Athletic Club,La Liga,22-241,2002,11,9,686,7.6,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,11,23,15,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
92,Enzo Boyomo,cm CMR,DF,Osasuna,La Liga,23-134,2001,20,20,"1,772",19.7,2,0,2,2,0,0,5,0,1.1,1.1,0.8,1.8,9,64,1,0.10,0.00,0.10,0.10,0.10,0.05,0.04,0.09,0.05,0.09
93,Enzo Boyomo,cm CMR,DF,Valladolid,La Liga,23-134,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
94,Darko Brašanac,rs SRB,MF,Leganés,La Liga,33-006,1992,21,12,"1,246",13.8,1,2,3,1,0,0,2,0,1.7,1.7,0.2,1.9,4,34,39,0.07,0.14,0.22,0.07,0.22,0.12,0.02,0.13,0.12,0.13
95,Tajon Buchanan,ca CAN,MF,Villarreal,La Liga,26-010,1999,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Ante Budimir,hr CRO,FW,Osasuna,La Liga,33-211,1991,24,21,"1,806",20.1,13,1,14,8,5,5,3,0,9.9,6.2,1.2,7.5,16,17,80,0.65,0.05,0.70,0.40,0.45,0.50,0.06,0.56,0.31,0.37
97,Manu Bueno,es ESP,MF,Sevilla,La Liga,20-206,2004,4,1,98,1.1,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,3,4,0.92,0.00,0.92,0.92,0.92,0.11,0.00,0.11,0.11,0.11
98,Endika Buján,es ESP,FW,Athletic Club,La Liga,22-033,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,Pau Cabanes,es ESP,"MF,FW",Villarreal,La Liga,20-001,2005,10,0,163,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0.55,0.00,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47
100,Pau Cabanes,es ESP,MF,Alavés,La Liga,20-001,2005,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Leandro Cabrera,uy URU,DF,Espanyol,La Liga,33-246,1991,20,19,"1,710",19.0,2,1,3,2,0,0,3,0,0.6,0.6,0.4,1.0,6,47,3,0.11,0.05,0.16,0.11,0.16,0.03,0.02,0.05,0.03,0.05
