,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
55,Gabriel Bares,ch SUI,"MF,DF",Montpellier,Ligue 1,24-176,2000,6,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Dylan Batubinsika,cd COD,DF,Saint-Étienne,Ligue 1,29-006,1996,21,19,"1,721",19.1,0,0,0,0,0,0,2,1,0.5,0.5,0.1,0.7,9,43,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
57,Haris Belkebla,dz ALG,MF,Angers,Ligue 1,31-024,1994,18,17,"1,497",16.6,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,8,56,15,0.00,0.06,0.06,0.00,0.06,0.00,0.05,0.06,0.00,0.06
58,Yassin Belkhdim,fr FRA,"MF,FW",Angers,Ligue 1,23-007,2002,19,7,760,8.4,0,0,0,0,0,0,2,0,0.5,0.5,0.3,0.8,12,19,20,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
59,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,Ligue 1,20-005,2005,22,15,"1,344",14.9,6,3,9,4,2,2,0,0,4.8,3.3,4.4,7.7,67,97,143,0.40,0.20,0.60,0.27,0.47,0.32,0.30,0.61,0.22,0.52
60,Ismaël Bennacer,dz ALG,MF,Marseille,Ligue 1,27-082,1997,2,2,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37
61,Saïd Benrahma,dz ALG,"FW,MF",Lyon,Ligue 1,29-195,1995,13,9,735,8.2,1,3,4,1,0,0,0,0,2.0,2.0,2.1,4.0,41,32,109,0.12,0.37,0.49,0.12,0.49,0.24,0.25,0.49,0.24,0.49
62,Nabil Bentaleb,dz ALG,MF,Lille,Ligue 1,30-089,1994,1,0,15,0.2,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,0,2,1,6.00,0.00,6.00,6.00,6.00,3.47,0.00,3.47,3.47,3.47
63,Lucas Beraldo,br BRA,DF,Paris S-G,Ligue 1,21-089,2003,14,13,"1,175",13.1,1,0,1,1,0,0,5,0,0.5,0.5,0.2,0.7,8,81,0,0.08,0.00,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06
64,Dimitry Bertaud,cd COD,GK,Montpellier,Ligue 1,26-260,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
