,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
386,Pedro Porro,es ESP,DF,Tottenham,Premier League,25-152,1999,24,21,"1,988",22.1,2,5,7,2,0,0,2,0,1.5,1.5,2.7,4.1,53,121,82,0.09,0.23,0.32,0.09,0.32,0.07,0.12,0.19,0.07,0.19
387,Jarell Quansah,eng ENG,DF,Liverpool,Premier League,22-014,2003,5,2,228,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
388,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,Premier League,23-122,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
389,Aaron Ramsdale,eng ENG,GK,Southampton,Premier League,26-274,1998,16,16,"1,440",16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
390,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,Premier League,23-260,2001,16,11,"1,000",11.1,1,2,3,1,0,0,1,0,1.2,1.2,1.7,2.9,35,40,67,0.09,0.18,0.27,0.09,0.27,0.11,0.15,0.26,0.11,0.26
391,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,Premier League,27-104,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35
392,David Raya,es ESP,GK,Arsenal,Premier League,29-150,1995,24,24,"2,160",24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
393,Harrison Reed,eng ENG,MF,Fulham,Premier League,30-016,1995,8,0,61,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,3,7,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.13,0.02,0.13
394,Remy Rees-Dottin,eng ENG,FW,Bournemouth,Premier League,18-343,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
395,Sergio Reguilón,es ESP,DF,Tottenham,Premier League,28-058,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
396,Bobby Reid,jm JAM,"FW,MF",Leicester City,Premier League,32-010,1993,16,4,442,4.9,1,2,3,1,0,0,1,0,0.7,0.7,1.2,1.9,8,11,27,0.20,0.41,0.61,0.20,0.61,0.15,0.24,0.39,0.15,0.39
